date,injected_iryo,injected_1st_iryo,injected_2nd_iryo,injected_total_iryo,injected_1st_total_iryo,injected_2nd_total_iryo,injected_korei,injected_1st_korei,injected_2nd_korei,injected_total_korei,injected_1st_total_korei,injected_2nd_total_korei,injected,injected_1st,injected_2nd,injected_total,injected_1st_total,injected_2nd_total
2021-04-12,96936,26850,70086,96936,26850,70086,0,0,0,0,0,0,96936,26850,70086,96936,26850,70086
2021-04-13,53986,13896,40090,150922,40746,110176,0,0,0,0,0,0,53986,13896,40090,150922,40746,110176
2021-04-14,50996,9569,41427,201918,50315,151603,0,0,0,0,0,0,50996,9569,41427,201918,50315,151603
2021-04-15,52620,16637,35983,254538,66952,187586,0,0,0,0,0,0,52620,16637,35983,254538,66952,187586
2021-04-16,69687,29696,39991,324225,96648,227577,2962,2962,0,2962,2962,0,72649,32658,39991,327187,99610,227577
2021-04-17,0,0,0,0,0,0,3564,3564,0,6526,6526,0,3564,3564,0,330751,103174,227577
2021-04-18,0,0,0,0,0,0,5638,5638,0,12164,12164,0,5638,5638,0,336389,108812,227577
2021-04-19,119032,64725,54307,443257,161373,281884,11059,11059,0,23223,23223,0,130091,75784,54307,466480,184596,281884
2021-04-20,126419,98622,27797,569676,259995,309681,17773,17773,0,40996,40996,0,144192,116395,27797,610672,300991,309681
2021-04-21,152884,126188,26696,722560,386183,336377,20685,20685,0,61681,61681,0,173569,146873,26696,784241,447864,336377
2021-04-22,150489,128634,21855,873049,514817,358232,19098,19098,0,80779,80779,0,169587,147732,21855,953828,595596,358232
2021-04-23,177672,147989,29683,1050721,662806,387915,14331,14331,0,95110,95110,0,192003,162320,29683,1145831,757916,387915
2021-04-24,0,0,0,0,0,0,13501,13501,0,108611,108611,0,13501,13501,0,1159332,771417,387915
2021-04-25,0,0,0,0,0,0,13682,13682,0,122293,122293,0,13682,13682,0,1173014,785099,387915
2021-04-26,263328,221677,41651,1314049,884483,429566,22274,22274,0,144567,144567,0,285602,243951,41651,1458616,1029050,429566
2021-04-27,203174,172069,31105,1517223,1056552,460671,30244,30244,0,174811,174811,0,233418,202313,31105,1692034,1231363,460671
2021-04-28,238273,194005,44268,1755496,1250557,504939,29576,29576,0,204387,204387,0,267849,223581,44268,1959883,1454944,504939
2021-04-29,0,0,0,0,0,0,11257,11257,0,215644,215644,0,11257,11257,0,1971140,1466201,504939
2021-04-30,274907,227667,47240,2030403,1478224,552179,21444,21444,0,237088,237088,0,296351,249111,47240,2267491,1715312,552179
2021-05-01,0,0,0,0,0,0,18161,18161,0,255249,255249,0,18161,18161,0,2285652,1733473,552179
2021-05-02,0,0,0,0,0,0,19211,19211,0,274460,274460,0,19211,19211,0,2304863,1752684,552179
2021-05-03,0,0,0,0,0,0,5955,5238,717,280415,279698,717,5955,5238,717,2310818,1757922,552896
2021-05-04,0,0,0,0,0,0,6718,6212,506,287133,285910,1223,6718,6212,506,2317536,1764134,553402
2021-05-05,0,0,0,0,0,0,8152,7544,608,295285,293454,1831,8152,7544,608,2325688,1771678,554010
